loop,domain,checks,result,detail
658,d8_scaling,1,PASS,views/delegates/badge_delegate.py: setFixedSize auf Dialog
659,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
660,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
661,d1_release_cleaner,8,PASS,
662,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
663,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
664,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
665,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
666,d6_theme_contrast,19,PASS,solarized_hell.json: 
667,d7_icon_targets,1,PASS,views/export_dialog.py: 
668,d8_scaling,1,PASS,views/export_dialog.py: setFixedSize auf Dialog
669,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
670,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
671,d1_release_cleaner,8,PASS,
672,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
673,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
674,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
675,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
676,d6_theme_contrast,19,PASS,standard_dunkel.json: 
677,d7_icon_targets,1,PASS,views/favorites_dashboard_dialog.py: 
678,d8_scaling,1,PASS,views/favorites_dashboard_dialog.py: setFixedSize auf Dialog
679,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
680,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
681,d1_release_cleaner,8,PASS,
682,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
683,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
684,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
685,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
686,d6_theme_contrast,19,PASS,standard_hell.json: 
687,d7_icon_targets,1,PASS,views/global_search_dialog.py: 
688,d8_scaling,1,PASS,views/global_search_dialog.py: setFixedSize auf Dialog
689,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
690,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
691,d1_release_cleaner,8,PASS,
692,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
693,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
694,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
695,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
696,d6_theme_contrast,19,PASS,v2_dunkel_graphite_cyan.json: 
697,d7_icon_targets,1,PASS,views/help_content.py: 
698,d8_scaling,1,PASS,views/help_content.py: setFixedSize auf Dialog
699,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
700,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
701,d1_release_cleaner,8,PASS,
702,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
703,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
704,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
705,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
706,d6_theme_contrast,19,PASS,v2_dunkel_purple_night.json: 
707,d7_icon_targets,1,PASS,views/help_content_additions.py: 
708,d8_scaling,1,PASS,views/help_content_additions.py: setFixedSize auf Dialog
709,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
710,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
711,d1_release_cleaner,8,PASS,
712,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
713,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
714,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
715,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
716,d6_theme_contrast,19,PASS,v2_hell_neon_cyan.json: 
717,d7_icon_targets,1,PASS,views/help_dialog.py: 
718,d8_scaling,1,PASS,views/help_dialog.py: setFixedSize auf Dialog
719,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
720,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
721,d1_release_cleaner,8,PASS,
722,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
723,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
724,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
725,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
726,d6_theme_contrast,19,PASS,v2_hell_pastel_mint.json: 
727,d7_icon_targets,1,PASS,views/help_launcher.py: 
728,d8_scaling,1,PASS,views/help_launcher.py: setFixedSize auf Dialog
729,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
730,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
731,d1_release_cleaner,8,PASS,
732,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
733,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
734,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
735,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
736,d6_theme_contrast,19,PASS,v2_hell_warm_sand.json: 
737,d7_icon_targets,1,PASS,views/help_menu.py: 
738,d8_scaling,1,PASS,views/help_menu.py: setFixedSize auf Dialog
739,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
740,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
741,d1_release_cleaner,8,PASS,
742,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
743,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
744,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
745,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
746,d6_theme_contrast,19,PASS,warm_hell.json: 
747,d7_icon_targets,1,PASS,views/language_select_dialog.py: 
748,d8_scaling,1,PASS,views/language_select_dialog.py: setFixedSize auf Dialog
749,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
750,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
751,d1_release_cleaner,8,PASS,
752,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
753,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
754,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
755,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
756,d6_theme_contrast,19,PASS,dracula_dunkel.json: 
757,d7_icon_targets,1,PASS,views/login_dialog.py: 
758,d8_scaling,1,PASS,views/login_dialog.py: setFixedSize auf Dialog
759,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
760,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
761,d1_release_cleaner,8,PASS,
762,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
763,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
764,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
765,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
766,d6_theme_contrast,19,PASS,dunkel_blau.json: 
767,d7_icon_targets,1,PASS,views/main_window.py: 
768,d8_scaling,1,PASS,views/main_window.py: setFixedSize auf Dialog
769,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
770,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
771,d1_release_cleaner,8,PASS,
772,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
773,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
774,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
775,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
776,d6_theme_contrast,19,PASS,dunkel_grn.json: 
777,d7_icon_targets,1,PASS,views/main_window_dialogs.py: 
778,d8_scaling,1,PASS,views/main_window_dialogs.py: setFixedSize auf Dialog
779,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
780,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
781,d1_release_cleaner,8,PASS,
782,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
783,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
784,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
785,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
786,d6_theme_contrast,19,PASS,dunkel_oled_kontrastarm.json: 
787,d7_icon_targets,1,PASS,views/month_close_dialog.py: 
788,d8_scaling,1,PASS,views/month_close_dialog.py: setFixedSize auf Dialog
789,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
790,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
791,d1_release_cleaner,8,PASS,
792,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
793,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
794,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
795,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
796,d6_theme_contrast,19,PASS,dunkel_warm_sepia.json: 
797,d7_icon_targets,1,PASS,views/quick_add_dialog.py: 
798,d8_scaling,1,PASS,views/quick_add_dialog.py: setFixedSize auf Dialog
799,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
800,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
801,d1_release_cleaner,8,PASS,
802,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
803,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
804,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
805,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
806,d6_theme_contrast,19,PASS,gruvbox_dunkel.json: 
807,d7_icon_targets,1,PASS,views/reauth.py: 
808,d8_scaling,1,PASS,views/reauth.py: setFixedSize auf Dialog
809,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
810,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
811,d1_release_cleaner,8,PASS,
812,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
813,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
814,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
815,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
816,d6_theme_contrast,19,PASS,gruvbox_hell.json: 
817,d7_icon_targets,1,PASS,views/recurring_bookings_dialog.py: 
818,d8_scaling,1,PASS,views/recurring_bookings_dialog.py: setFixedSize auf Dialog
819,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
820,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
821,d1_release_cleaner,8,PASS,
822,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
823,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
824,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
825,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
826,d6_theme_contrast,19,PASS,hell_grn.json: 
827,d7_icon_targets,1,PASS,views/restore_key_dialog.py: 
828,d8_scaling,1,PASS,views/restore_key_dialog.py: setFixedSize auf Dialog
829,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
830,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
831,d1_release_cleaner,8,PASS,
832,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
833,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
834,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
835,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
836,d6_theme_contrast,19,PASS,hell_warm_sepia.json: 
837,d7_icon_targets,1,PASS,views/savings_goal_messages.py: 
838,d8_scaling,1,PASS,views/savings_goal_messages.py: setFixedSize auf Dialog
839,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
840,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
841,d1_release_cleaner,8,PASS,
842,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
843,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
844,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
845,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
846,d6_theme_contrast,19,PASS,kontrast_schwarzwei.json: 
847,d7_icon_targets,1,PASS,views/savings_goals_dialog.py: 
848,d8_scaling,1,PASS,views/savings_goals_dialog.py: setFixedSize auf Dialog
849,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
850,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
851,d1_release_cleaner,8,PASS,
852,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
853,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
854,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
855,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
856,d6_theme_contrast,19,PASS,modern_cyan_v2.json: 
857,d7_icon_targets,1,PASS,views/setup_assistant_dialog.py: 
858,d8_scaling,1,PASS,views/setup_assistant_dialog.py: setFixedSize auf Dialog
859,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
860,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
861,d1_release_cleaner,8,PASS,
862,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
863,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
864,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
865,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
866,d6_theme_contrast,19,PASS,monokai_dunkel.json: 
867,d7_icon_targets,1,PASS,views/shortcuts_dialog.py: 
868,d8_scaling,1,PASS,views/shortcuts_dialog.py: setFixedSize auf Dialog
869,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
870,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
871,d1_release_cleaner,8,PASS,
872,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
873,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
874,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
875,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
876,d6_theme_contrast,19,PASS,nord_dunkel.json: 
877,d7_icon_targets,1,PASS,views/special_income_dialog.py: 
878,d8_scaling,1,PASS,views/special_income_dialog.py: setFixedSize auf Dialog
879,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
880,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
881,d1_release_cleaner,8,PASS,
882,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
883,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
884,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
885,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
886,d6_theme_contrast,19,PASS,ocean_dunkel.json: 
887,d7_icon_targets,1,PASS,views/startup_wizard.py: 
888,d8_scaling,1,PASS,views/startup_wizard.py: setFixedSize auf Dialog
889,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
890,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
891,d1_release_cleaner,8,PASS,
892,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
893,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
894,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
895,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
896,d6_theme_contrast,19,PASS,pastell_sanft.json: 
897,d7_icon_targets,1,PASS,views/tabs/budget_tab.py: 
898,d8_scaling,1,PASS,views/tabs/budget_tab.py: setFixedSize auf Dialog
899,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
900,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
901,d1_release_cleaner,8,PASS,
902,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
903,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
904,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
905,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
906,d6_theme_contrast,19,PASS,solarized_dunkel.json: 
907,d7_icon_targets,1,PASS,views/tabs/categories_tab.py: 
908,d8_scaling,1,PASS,views/tabs/categories_tab.py: setFixedSize auf Dialog
909,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
910,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
911,d1_release_cleaner,8,PASS,
912,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
913,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
914,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
915,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
916,d6_theme_contrast,19,PASS,solarized_hell.json: 
917,d7_icon_targets,1,PASS,views/tabs/cockpit_tab.py: 
918,d8_scaling,1,PASS,views/tabs/cockpit_tab.py: setFixedSize auf Dialog
919,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
920,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
921,d1_release_cleaner,8,PASS,
922,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
923,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
924,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
925,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
926,d6_theme_contrast,19,PASS,standard_dunkel.json: 
927,d7_icon_targets,1,PASS,views/tabs/overview_budget_panel.py: 
928,d8_scaling,1,PASS,views/tabs/overview_budget_panel.py: setFixedSize auf Dialog
929,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
930,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
931,d1_release_cleaner,8,PASS,
932,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
933,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
934,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
935,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
936,d6_theme_contrast,19,PASS,standard_hell.json: 
937,d7_icon_targets,1,PASS,views/tabs/overview_kpi_panel.py: 
938,d8_scaling,1,PASS,views/tabs/overview_kpi_panel.py: setFixedSize auf Dialog
939,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
940,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
941,d1_release_cleaner,8,PASS,
942,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
943,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
944,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
945,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
946,d6_theme_contrast,19,PASS,v2_dunkel_graphite_cyan.json: 
947,d7_icon_targets,1,PASS,views/tabs/overview_right_panel.py: 
948,d8_scaling,1,PASS,views/tabs/overview_right_panel.py: setFixedSize auf Dialog
949,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
950,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
951,d1_release_cleaner,8,PASS,
952,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
953,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
954,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
955,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
956,d6_theme_contrast,19,PASS,v2_dunkel_purple_night.json: 
957,d7_icon_targets,1,PASS,views/tabs/overview_savings_panel.py: 
958,d8_scaling,1,PASS,views/tabs/overview_savings_panel.py: setFixedSize auf Dialog
959,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
960,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
961,d1_release_cleaner,8,PASS,
962,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
963,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
964,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
965,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
966,d6_theme_contrast,19,PASS,v2_hell_neon_cyan.json: 
967,d7_icon_targets,1,PASS,views/tabs/overview_tab.py: 
968,d8_scaling,1,PASS,views/tabs/overview_tab.py: setFixedSize auf Dialog
969,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
970,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
971,d1_release_cleaner,8,PASS,
972,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
973,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
974,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
975,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
976,d6_theme_contrast,19,PASS,v2_hell_pastel_mint.json: 
977,d7_icon_targets,1,PASS,views/tabs/overview_widgets.py: 
978,d8_scaling,1,PASS,views/tabs/overview_widgets.py: setFixedSize auf Dialog
979,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
980,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
981,d1_release_cleaner,8,PASS,
982,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
983,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
984,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
